,Customer Name,Date,Ratings,Review Title,Review,Sentiment_Score,index,Review_Time,Month,Year
127,Apurva,Reviewed in India on 16 July 2020,5.0 out of 5 stars,What's seen outside is real,"  one of the only products to use real fruits insideconaining strawberry, almonds ,nuts, reisns and many more....extremely healthy",neu,128,2020-07-16,7,2020
128,Pooja Devlekar,Reviewed in India on 15 July 2020,5.0 out of 5 stars,Good product,  Nice for a breakfast meal,neu,129,2020-07-15,7,2020
129,Shiv Shankar Ash,Reviewed in India on 15 July 2020,5.0 out of 5 stars,Best muesli till date.,  I recommend all to try this. Its the best muesli ever.,pos,130,2020-07-15,7,2020
130,Chakravarty D,Reviewed in India on 14 July 2020,5.0 out of 5 stars,V good,  My daughter loves it. Will order again.,pos,131,2020-07-14,7,2020
131,Suraj Mishra,Reviewed in India on 14 July 2020,5.0 out of 5 stars,Good un taste,  Worth the money .. enjoy eating with oast as topping,pos,132,2020-07-14,7,2020
132,Rk,Reviewed in India on 14 July 2020,4.0 out of 5 stars,Great product,"  Quality, package and taste. All tick boxes checked.",neu,133,2020-07-14,7,2020
133,RJ,Reviewed in India on 14 July 2020,5.0 out of 5 stars,Good product at reasonable price,  Value for money,neu,134,2020-07-14,7,2020
134,Dhanya V S,Reviewed in India on 14 July 2020,5.0 out of 5 stars,Good one. Happy to purchase.,  One of the best breakfast options specially for the once who doesn't have much time in the morning. This has more pumpkin seeds and chia than any other seeds and nuts.,neu,135,2020-07-14,7,2020
135,Amazon Customer,Reviewed in India on 13 July 2020,1.0 out of 5 stars,Complacent,"  They have now almost stopped adding apricot and cranberry. Initially, the product was great and ingredients were generously added. Now, it seems they think they have established themselves. Hence the degradation of quality.",neu,136,2020-07-13,7,2020
136,Shouvik D.,Reviewed in India on 13 July 2020,5.0 out of 5 stars,Healthy yet delicious!,  Was looking for a healthy yet delicious breakfast since a while!This has to be hands down one of the best.It's yummy and makes me feel pretty energetic throughout the morning.,pos,137,2020-07-13,7,2020
137,Anil Debata,Reviewed in India on 13 July 2020,4.0 out of 5 stars,Good one,  ideal for breakfast. tasted good. will surely recommend this .,pos,138,2020-07-13,7,2020
138,Shruti,Reviewed in India on 13 July 2020,5.0 out of 5 stars,Highly recommend,"  I absolutely loved it..highly recommend buying it..it is the perfect mix of all nuts,seeds...mix it once before each use..has strong strawberry fragrance.",pos,139,2020-07-13,7,2020
139,Chandreshmangaroliya,Reviewed in India on 13 July 2020,4.0 out of 5 stars,Not worth the cost paid.,  It is priced too high.,neu,140,2020-07-13,7,2020
