S.No.,Customer Name,Date,Ratings,Review Title,Review,Review_Time,Month,Year,index,Ratingsint,Word_Length,Character_Length,,Helpful Votes,test ,
11,SAJJAL,Reviewed in India on 6 September 2020,4.0 out of 5 stars,🙄,  It's better to eat dry. With milk I don't like it's taste.,06-09-20,September,2020,12,4,12,60,,          Helpful,0.00E+00,
12,Amazon Customer,Reviewed in India on 6 September 2020,1.0 out of 5 stars,Don't like taste,  Don't but if you dont like sugary tasteI dont like it 😔,06-09-20,September,2020,13,1,12,57,,          Helpful,0.00E+00,
13,Amaan pathan,Reviewed in India on 5 September 2020,5.0 out of 5 stars,Delicious,  Much better than Kellogg's muesli. It's nutritious and delicious!,05-09-20,September,2020,14,5,9,67,,          Helpful,0.00E+00,
14,Pratham,Reviewed in India on 5 September 2020,4.0 out of 5 stars,Healthy cereal,  Great cereal for those who are health conscious. Very expensive though,05-09-20,September,2020,15,4,11,72,,          Helpful,0.00E+00,
15,Rashmi,Reviewed in India on 4 September 2020,5.0 out of 5 stars,nice and tasty,"  very satisfied with the taste, it's really a nice breakfast in terms of both taste and flavor, I generally have it with hot milk and it tastes really nice, you can really feel the fruits and nuts. I think I am going to stick to the same for the time being",04-09-20,September,2020,16,5,51,257,,          Helpful,0.00E+00,
16,raj,Reviewed in India on 4 September 2020,4.0 out of 5 stars,Yummy,  The taste is yum and crunchy . The fruits inside let me avoid the sugar in milk. I recommend it.,04-09-20,September,2020,17,4,20,98,,          Helpful,0.00E+00,
17,Sushma,Reviewed in India on 4 September 2020,3.0 out of 5 stars,The box looks good,  I do not like it,04-09-20,September,2020,18,3,5,18,,          Helpful,0.00E+00,
18,Muskan sayyed,Reviewed in India on 3 September 2020,3.0 out of 5 stars,Quantity should increase,  Quantity should be increased ! It ends in a 2-3 weeks ..,03-09-20,September,2020,19,3,12,58,,          Helpful,0.00E+00,
19,SB,Reviewed in India on 2 September 2020,1.0 out of 5 stars,Free hair with cereal,  Thank you for gifting us strand of your hair as a bonus. I suppose the cereal would've been great had the employee cared to wear a hat to keep food sanitised. Many thanks YogaBar,02-09-20,September,2020,20,1,34,180,,          Helpful,0.00E+00,
20,Pooja Devlekar,Reviewed in India on 2 September 2020,5.0 out of 5 stars,Awesome 👍 taste....must buy,  Awesome 👍 taste....must buy,02-09-20,September,2020,21,5,4,29,,          Helpful,0.00E+00,
21,Shiv Shankar Ash,Reviewed in India on 2 September 2020,5.0 out of 5 stars,great breakfast option,  received package in good condition within a week thank you amazon..,02-09-20,September,2020,22,5,11,69,,          Helpful,0.00E+00,
22,Aman Gupta,Reviewed in India on 1 September 2020,2.0 out of 5 stars,Not a great one,"  For this little amount of protein i would not like to eat this tasteless cereal. It's sitting in a corner now, nobody ever touches it.",01-09-20,September,2020,23,2,25,136,,          Helpful,0.00E+00,
23,Arita Mondal,Reviewed in India on 1 September 2020,5.0 out of 5 stars,Nice,  Nice taste..well packed..but dnt knw what will do if it is damaged one..becoz it is not returnable,01-09-20,September,2020,24,5,17,100,,          Helpful,0.00E+00,
24,Paro,Reviewed in India on 31 August 2020,5.0 out of 5 stars,Tastes good,"  It tastes good, good for diet because there is no added sugar",31-08-20,August,2020,25,5,12,63,,          Helpful,0.00E+00,
25,Keerthu,Reviewed in India on 30 August 2020,4.0 out of 5 stars,"Good product, taste very nice",  It's a bit sweet because of the berries but still far better than any other product,30-08-20,August,2020,26,4,16,85,,          Helpful,0.00E+00,
26,Debarpita Majumdar,Reviewed in India on 30 August 2020,4.0 out of 5 stars,very good product ordered 2nd time,"  good taste, healthy as well packaging needs to be improved.",30-08-20,August,2020,27,4,10,61,,          Helpful,0.00E+00,
27,Kunal,Reviewed in India on 29 August 2020,5.0 out of 5 stars,Tasty n healthy,  I ordered for my hubby . N he really likes this product,29-08-20,August,2020,28,5,12,57,,          Helpful,0.00E+00,
28,Karampreet Kaur,Reviewed in India on 29 August 2020,5.0 out of 5 stars,Tasty and healthy,"  It has a great flavor and one of the best muesli I have had. A bit higher on costs, but quality is good.",29-08-20,August,2020,29,5,23,106,,          Helpful,0.00E+00,
29,Ruchi,Reviewed in India on 29 August 2020,4.0 out of 5 stars,Pls make packets only,  I like 40gms packets  bcs it is fresh and good flavour and exact quantity for breakfast,29-08-20,August,2020,30,4,16,89,,          Helpful,0.00E+00,
30,AMALU ANTONY,Reviewed in India on 28 August 2020,5.0 out of 5 stars,Worthy but little expensive but overall really nice smell is good,  Very health tasty flavored... 👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌,28-08-20,August,2020,31,5,5,51,,          Helpful,0.00E+00,
31,Sonia,Reviewed in India on 26 August 2020,1.0 out of 5 stars,Fraud,  Very bad this timeCompany faled to maintain quality.This time I got with no dry fruits in it only Grains @ Rs.400 for 700g.,26-08-20,August,2020,32,1,23,125,,          Helpful,0.00E+00,
32,Pooja Devlekar,Reviewed in India on 25 August 2020,4.0 out of 5 stars,Item is good but delivery is poor,  Item is good but delivered in 12 days even after being a prime member,25-08-20,August,2020,33,4,14,71,,          Helpful,0.00E+00,
33,Shiv Shankar Ash,Reviewed in India on 24 August 2020,4.0 out of 5 stars,Go for it!,  The pack is certainly very tasty and wholesome in health,24-08-20,August,2020,34,4,10,58,,          Helpful,0.00E+00,
34,Khilendra Kumar sen,Reviewed in India on 24 August 2020,4.0 out of 5 stars,Not a healthy food at all. Too much sugar syrup taste that dominates other natural flavours,  Just too much sugar to my taste. Its doubtful if its all natural sugar or processed. It is more of a comfort food and less of a healthy food. The food should have been natural and not candied out in syrup. I was not expecting this from a brand that has Yoga in its name. Dissappointed,24-08-20,August,2020,35,4,56,286,,          Helpful,0.00E+00,
35,Umang,Reviewed in India on 23 August 2020,5.0 out of 5 stars,Very healthy and tasty,  Nice love it,23-08-20,August,2020,36,5,3,14,,          Helpful,0.00E+00,
36,Srikieee,Reviewed in India on 21 August 2020,5.0 out of 5 stars,Worth buying,  Worth for money💰💵,21-08-20,August,2020,37,5,3,19,,          Helpful,0.00E+00,
37,Barnali,Reviewed in India on 21 August 2020,4.0 out of 5 stars,Good,  Nice flavour,21-08-20,August,2020,38,4,2,14,,          Helpful,0.00E+00,
38,Puspani Das,Reviewed in India on 21 August 2020,5.0 out of 5 stars,Totally Loved it!,"  Writing this review after trying it for one week.I totally recommend this product. Taste is so good, especially taste of dried berries. At first try, you may not like it much but after trying 2-3 times, you will start loving it. You can add honey to make it sweeter.",21-08-20,August,2020,39,5,49,268,,          Helpful,0.00E+00,
39,Alka Thakur,Reviewed in India on 20 August 2020,5.0 out of 5 stars,Excellent and Healthy,  Excellent and Healthy product.  Thanks,20-08-20,August,2020,40,5,5,40,,          Helpful,0.00E+00,
40,sayela ,Reviewed in India on 20 August 2020,5.0 out of 5 stars,Reasonably priced premium quality muesli,"  Good flavour, good packaging and mostly value for money.",20-08-20,August,2020,41,5,9,58,,          Helpful,0.00E+00,
41,akshay sharma,Reviewed in India on 20 August 2020,5.0 out of 5 stars,Extremely good,"  Very good product, full rich of dry fruits, good taste and very hygiene than any other brands int market. Very very nice. I liked it.",20-08-20,August,2020,42,5,25,135,,          Helpful,0.00E+00,
42,Amazon Customer,Reviewed in India on 19 August 2020,5.0 out of 5 stars,Very tasty and healthy breakfast,  Very tasty and healthy breakfast,19-08-20,August,2020,43,5,5,34,,          Helpful,0.00E+00,
43,VERA,Reviewed in India on 18 August 2020,4.0 out of 5 stars,Delicious,  The museli is good. Good handful of it with one glass of milk iss a perfect breakfast on the go.,18-08-20,August,2020,44,4,20,98,,          Helpful,0.00E+00,
44,Pooja Devlekar,Reviewed in India on 17 August 2020,5.0 out of 5 stars,Tasty and healthy loved it,"  Healthy, tasty, delicious. Seeds, strawberries, rasins , nuts , muesli. Perfect for breakfast or evening snack time. Packing all good.",17-08-20,August,2020,45,5,20,136,,          Helpful,0.00E+00,
45,Shiv Shankar Ash,Reviewed in India on 17 August 2020,5.0 out of 5 stars,Amazing flavour,"  Totally seems as they said , love it’s flavour!! Packaging is also good... worth buy",17-08-20,August,2020,46,5,15,86,,          Helpful,0.00E+00,
46,sridhar,Reviewed in India on 16 August 2020,4.0 out of 5 stars,Totally worth it 👌🏻,"  It’s really good. It delivers on all the aspects. It has got it all what all is shown and what all is being claimed on the cover. Fruits, chia seeds, muesli everything. Flavors good. Taste is good. Totally a delight. Definitely value for money. Lasts around a week to 10 days. But definitely go for it. Chocolates good too. Except there are no actual chunks of chocolate how it’s shown on the packet.",16-08-20,August,2020,47,4,73,402,,          Helpful,0.00E+00,
47,apoorva sood,Reviewed in India on 14 August 2020,5.0 out of 5 stars,.,  Good product,14-08-20,August,2020,48,5,2,14,,          Helpful,0.00E+00,
48,Rashmi,Reviewed in India on 14 August 2020,5.0 out of 5 stars,Poor packaging but quality no compromise,  Poor packaging this time..... quality no compromise.... previously I had got best packaging.....,14-08-20,August,2020,49,5,13,98,,          Helpful,0.00E+00,
49,shajila,Reviewed in India on 14 August 2020,5.0 out of 5 stars,Loved it,  Nutritious ..,14-08-20,August,2020,50,5,2,15,,          Helpful,0.00E+00,
50,Stanley,Reviewed in India on 14 August 2020,5.0 out of 5 stars,The best muesli in India,  World-class product,14-08-20,August,2020,51,5,2,21,,          Helpful,0.00E+00,
51,moikaseth,Reviewed in India on 14 August 2020,5.0 out of 5 stars,Loved it,"  It's absolutely delicious. The aroma, taste and the nutritious ingredients just make this perfect.Crispy and highly digestive.Would absolutely recommend this to all the people who love nuts and raisins.",14-08-20,August,2020,52,5,29,204,,          Helpful,0.00E+00,
52,Soni,Reviewed in India on 13 August 2020,4.0 out of 5 stars,Excellent,  Vv good,13-08-20,August,2020,53,4,2,9,,          Helpful,0.00E+00,
53,Hemant lakhani,Reviewed in India on 13 August 2020,5.0 out of 5 stars,Good product.,  Good product..Cost can be reduced.,13-08-20,August,2020,54,5,5,36,,          Helpful,0.00E+00,
54,sabrina,Reviewed in India on 13 August 2020,4.0 out of 5 stars,ST,  Good qualityI recommend,13-08-20,August,2020,55,4,3,25,,          Helpful,0.00E+00,
55,Swapnil,Reviewed in India on 13 August 2020,4.0 out of 5 stars,Excellent,  Excellent,13-08-20,August,2020,56,4,1,11,,          Helpful,0.00E+00,
56,Pooja Devlekar,Reviewed in India on 13 August 2020,5.0 out of 5 stars,Yummyyy,  Tastebuds were happy😊,13-08-20,August,2020,57,5,3,23,,          Helpful,0.00E+00,
57,Shiv Shankar Ash,Reviewed in India on 12 August 2020,5.0 out of 5 stars,U should try,  Flavour is great. This is the perfect food for breakfast 😋,12-08-20,August,2020,58,5,11,60,,          Helpful,0.00E+00,
58,Deepsikha Sarkar,Reviewed in India on 12 August 2020,5.0 out of 5 stars,Awesome snacks,  Nice packing flavour is going.,12-08-20,August,2020,59,5,5,32,,          Helpful,0.00E+00,
59,Ca@am89,Reviewed in India on 12 August 2020,5.0 out of 5 stars,Good product,"  I think it is good idea to buy also 500g plain oats and mix it with this yoga bar, or you will finish it in 4days, that will expensive. I just got it iam going to the store and buy the plain oats to mix. So I can enjoy for 10 days.",12-08-20,August,2020,60,5,52,233,,          Helpful,0.00E+00,
60,Sarvaiya,Reviewed in India on 12 August 2020,5.0 out of 5 stars,Tasty,  Healthy abd tasty,12-08-20,August,2020,61,5,3,19,,          Helpful,0.00E+00,
61,Ananya Bose,Reviewed in India on 11 August 2020,4.0 out of 5 stars,First See the ingredients list and then buy,  Costly and lots of sugar and sodium helps in increase weight and other health problems because of 5 percent sugar fo every 50 grams,11-08-20,August,2020,62,4,24,133,,          Helpful,0.00E+00,
62,George Philip,Reviewed in India on 11 August 2020,5.0 out of 5 stars,Good,  Good,11-08-20,August,2020,63,5,1,6,,          Helpful,0.00E+00,
63,Manish Choudhary,Reviewed in India on 10 August 2020,3.0 out of 5 stars,Chocolate flavor much better,  Chocolate flavor is much much better than fruit and nut flavour,10-08-20,August,2020,64,3,11,65,,          Helpful,0.00E+00,
64,NARINDER CHAUHAN,Reviewed in India on 10 August 2020,5.0 out of 5 stars,"Yummy and tasty, loving it. Healthy breakfast.",  Jus loving the product.the packaging it's very very healthy and delicious. I have never had a breakfast this good and yummy.can add taste if you add milk and a teaspoon of honey 😄,10-08-20,August,2020,65,5,33,181,,          Helpful,0.00E+00,
65,Abhilash Phukan,Reviewed in India on 10 August 2020,5.0 out of 5 stars,Good buy,  My family likes this muesli very much,10-08-20,August,2020,66,5,7,39,,          Helpful,0.00E+00,
66,Umang sharma,Reviewed in India on 9 August 2020,3.0 out of 5 stars,good,  its good,09-08-20,August,2020,67,3,2,10,,          Helpful,0.00E+00,
67,Sumit Soni,Reviewed in India on 9 August 2020,5.0 out of 5 stars,Super tasty muesli,  This is the one of the best muesli I ever ate.The flavour texture are awesome. I don't need to add fruit also because the fruit is like to flavoured and the dry fruit also as a very fresh and the rolled oats and all material all seeds are very good.This is healthy for me and my whole family. I order for myself then I'll order for my brother also and my sister also.,09-08-20,August,2020,68,5,73,369,,          Helpful,0.00E+00,
68,Pooja Devlekar,Reviewed in India on 8 August 2020,5.0 out of 5 stars,Worth it,"  The quantity of the museli is very good and it do includes alots of healthy nuts in it. The flavour is good, it is sweet in taste. It is surely a value of money & the packaging is also nice.",08-08-20,August,2020,69,5,40,192,,          Helpful,0.00E+00,
69,Shiv Shankar Ash,Reviewed in India on 8 August 2020,5.0 out of 5 stars,Superb taste!,  Awesome and so nutritious. A very welcome change to the routine breakfast.,08-08-20,August,2020,70,5,12,76,,          Helpful,0.00E+00,
70,Ravindra,Reviewed in India on 8 August 2020,5.0 out of 5 stars,Complete breakfast,   Yogabar is my all time favourite for healthy stuffs. I loved tge flavour of this museli+ breakfast cereal. It loaded with dry fruits. Its a complete fibrous meal. Most importantly its a gluten free meal. Thr packaging can be improved but its a value for money deal. Highly recommended for regular healthy breakfast.,08-08-20,August,2020,71,5,53,318,,          Helpful,0.00E+00,
71,Kaur B,Reviewed in India on 8 August 2020,5.0 out of 5 stars,Good,  Liked it. Good,08-08-20,August,2020,72,5,3,16,,          Helpful,0.00E+00,
72,Yash,Reviewed in India on 8 August 2020,5.0 out of 5 stars,Fruits and seeds filled!,  Good amount of all the seeds and fruits needed for a wholesome breakfast.,08-08-20,August,2020,73,5,13,75,,          Helpful,0.00E+00,
73,Sakshi Pandey,Reviewed in India on 7 August 2020,5.0 out of 5 stars,Superb testy,"  Go for it guys,it's fill your tummy for long time",07-08-20,August,2020,74,5,10,51,,          Helpful,0.00E+00,
74,Loki,Reviewed in India on 6 August 2020,5.0 out of 5 stars,Best onw,  It's the best breakfast... superb.. enriched with fruits nuts n seeds.. tastes heavenly... go for it,06-08-20,August,2020,75,5,16,102,,          Helpful,0.00E+00,
75,Antara Thakur,Reviewed in India on 6 August 2020,5.0 out of 5 stars,Nice flavour and smell,  Nice flavour and smell. A suggestion from my side is to let in soak in milk for 5-10 mins before eating. Way better than Kellogg's. It has more components too.,06-08-20,August,2020,76,5,30,161,,          Helpful,0.00E+00,
76,Ethan,Reviewed in India on 5 August 2020,5.0 out of 5 stars,Healthy snack for breakfast,"  Amazing product, tastes good! A little less sweet and rich in protein. Can be used as a breakfast snack with milk.Go for it. It's healthy and tastes good!",05-08-20,August,2020,77,5,28,156,,          Helpful,0.00E+00,
77,meenu,Reviewed in India on 5 August 2020,1.0 out of 5 stars,Preservatives Preservatives & Preservatives,"  Great packaging and nutritional values, But the moment you receive your box, open and smell it, you will only smell preservatives and chemicals. I have sour throat because of excessive chemicals in this product within 2 days of use. Don't waste your money on such products.",05-08-20,August,2020,78,1,46,275,,"One person found this helpful

          Helpful",1.00E+00,
78,Diya Roy,Reviewed in India on 5 August 2020,5.0 out of 5 stars,Excellent choice,  A little sugary so little children will like so much. An excellent mixture of nuts.,05-08-20,August,2020,79,5,15,85,,          Helpful,0.00E+00,
79,Amazon Customer,Reviewed in India on 5 August 2020,5.0 out of 5 stars,Yeh Yoga Bar,"  It's been a few months since I discovered this mueslix flavour. I've been buying protein bars produced by the same company for more than a year now ergo I know quality is good.This large pack is unavailable in physical stores and even though it took a whole week to be delivered from Bangalore to Delhi, it's worth the wait as the product is very healthy and price very reasonable.",05-08-20,August,2020,80,5,69,383,,          Helpful,0.00E+00,
80,Pooja Devlekar,Reviewed in India on 5 August 2020,3.0 out of 5 stars,Expiry date for musli.,  I received musli packat.but expiry date for mgf.,05-08-20,August,2020,81,3,8,50,,          Helpful,0.00E+00,
81,Shiv Shankar Ash,Reviewed in India on 3 August 2020,5.0 out of 5 stars,Free from sugar and honey,"  I go for difficult to find, no sugar, no artificial sugar and no honey products, so Yoga bar is a perfect option.",03-08-20,August,2020,82,5,22,115,,          Helpful,0.00E+00,
82,Mahindar B.,Reviewed in India on 2 August 2020,5.0 out of 5 stars,Perfect choice for breakfast!,  I loved it! Tastes amazing!!!♥️✌️,02-08-20,August,2020,83,5,5,35,,          Helpful,0.00E+00,
83,Kindle Customer,Reviewed in India on 2 August 2020,3.0 out of 5 stars,Tasty doesn't mean healthy!!!,  The product is great in this price range. Tasty and have ample portion. I believed the sweetness outweighs the nutritional value here.,02-08-20,August,2020,84,3,22,136,,          Helpful,0.00E+00,
84,Harsh Kumar Chaudhary,Reviewed in India on 2 August 2020,2.0 out of 5 stars,Did not meet expectations,  The product did not meet my expectations since fruits+nuts+ seeds flavor but i was supplied with chocolate flavor.,02-08-20,August,2020,85,2,18,116,,          Helpful,0.00E+00,
85,Manish K.,Reviewed in India on 2 August 2020,5.0 out of 5 stars,Healthy and Delicious Breakfast .,"  Who Doesn't likes Healthy Breakfast. This Yogabar Fruits + nuts and seeds Muesli is so delicious and healthy. Best food for Breakfast with an affordable price. It contains 50% whole grain, 22% Dried Fruits like Raisins, cranberries, strawberries,  Blackcurrants. It's a power pack break fast with High Protein and High Fiber .",02-08-20,August,2020,86,5,52,328,,          Helpful,0.00E+00,
86,Purabi c.,Reviewed in India on 2 August 2020,5.0 out of 5 stars,Ultimate taste,  Super quality and taste as well,02-08-20,August,2020,87,5,6,33,,          Helpful,0.00E+00,
87,Amazon Customer,Reviewed in India on 2 August 2020,5.0 out of 5 stars,Good product ..,  Tastes good,02-08-20,August,2020,88,5,2,13,,          Helpful,0.00E+00,
88,Baishan Chatterjee,Reviewed in India on 2 August 2020,4.0 out of 5 stars,Nice Museli Flavour,"  I have been using this museli from last one week.Its rich in taste and energy.It contains fruits,nuts and flex seeda,chia seeds which are high in proteins and fiber.",02-08-20,August,2020,89,4,28,167,,          Helpful,0.00E+00,
89,batskhem lyngkhoi,Reviewed in India on 2 August 2020,5.0 out of 5 stars,Healthy breakfast at great price,"  I tried Dark chocolate and Cadbury varient as well as the fruits, nuts and seeds varient and both are delicious.It consists of healthy ingredients like flax seeds, Quinoa and oats. Perfect for everyday breakfast.",02-08-20,August,2020,90,5,34,214,,          Helpful,0.00E+00,
90,A Dash,Reviewed in India on 1 August 2020,5.0 out of 5 stars,Love the smell!,  Nice smell!,01-08-20,August,2020,91,5,2,13,,          Helpful,0.00E+00,
91,K.A. Raghavan,Reviewed in India on 1 August 2020,5.0 out of 5 stars,Great product except cost,"  Very good flavour, but the quantity will last for not more than a week.Everything is good, but cost wise not good",01-08-20,August,2020,92,5,21,115,,          Helpful,0.00E+00,
92,Pooja Devlekar,Reviewed in India on 31 July 2020,3.0 out of 5 stars,Not upto mark,"  I personally don't like its flavour cause of mild strawberry scent, though its doesn't contain cornflakes at all , that's good part, but its hard while chewing. Before that i used Kellogg's musli with no sugar.. i think to switch back.. it's better",31-07-20,July,2020,93,3,43,250,,          Helpful,0.00E+00,
93,Shiv Shankar Ash,Reviewed in India on 31 July 2020,4.0 out of 5 stars,Worth,  Good flavour. Contains seeds & nuts.Looks healthy,31-07-20,July,2020,94,4,7,51,,          Helpful,0.00E+00,
94,Anoop C.,Reviewed in India on 31 July 2020,4.0 out of 5 stars,I prefer chocolate muesli,  Good diet product. But chocolate flavour is more good than this,31-07-20,July,2020,95,4,11,65,,          Helpful,0.00E+00,
95,Rachel,Reviewed in India on 31 July 2020,4.0 out of 5 stars,Pricey but good,  Bit pricey for every day consumption.  But good quality.,31-07-20,July,2020,96,4,9,58,,          Helpful,0.00E+00,
96,Amazon Customer,Reviewed in India on 30 July 2020,1.0 out of 5 stars,Filled with low quality ingredients,  It majorly contains poha,30-07-20,July,2020,97,1,4,26,,          Helpful,0.00E+00,
97,Nisha,Reviewed in India on 29 July 2020,5.0 out of 5 stars,Taste buds are delighted.,  Can have it with or without milk. Natural ingredients make it to must have it. I feel little more quantity of nuts are required. Overall a good product.,29-07-20,July,2020,98,5,28,154,,          Helpful,0.00E+00,
98,Manish Tiwari,Reviewed in India on 29 July 2020,5.0 out of 5 stars,"Simply Awesome,Tasty, Healthy,Value for money","  Really loved this flavour of yoga bar muesli,color and sweetness all natural ingredients with good amount of nuts and berries. Have tried so many brands but this is best. A very healthy and nutrition meal to have in morning. package was fresh and we'll packed and delivered on time.",29-07-20,July,2020,99,5,49,284,,          Helpful,0.00E+00,
99,Vasbhi,Reviewed in India on 29 July 2020,4.0 out of 5 stars,Healthy and delightful,  Very good flavor and have alot of super food and healthy,29-07-20,July,2020,100,4,11,58,,          Helpful,0.00E+00,
100,sourabh goyal,Reviewed in India on 29 July 2020,2.0 out of 5 stars,Average,  Average,29-07-20,July,2020,101,2,1,9,,          Helpful,0.00E+00,
101,Vinay,Reviewed in India on 28 July 2020,1.0 out of 5 stars,Must reafdd😐😐😐,  Product is full of chunks...not good..not by big 750gm pack ever...only buy 500g..it is betr thn biggr one..,28-07-20,July,2020,102,1,18,110,,"One person found this helpful

          Helpful",1.00E+00,
102,captainplanetbetter,Reviewed in India on 27 July 2020,4.0 out of 5 stars,Product is good in all aspects,  Packaging is perfect and flavors also good. Overall value for money.,27-07-20,July,2020,103,4,11,70,,"One person found this helpful

          Helpful",1.00E+00,
103,Jobee Philip,Reviewed in India on 27 July 2020,5.0 out of 5 stars,Good product,"  Very tasty, waiting for more flavours to come.",27-07-20,July,2020,104,5,8,48,,          Helpful,0.00E+00,
104,Pooja Devlekar,Reviewed in India on 27 July 2020,5.0 out of 5 stars,Good,  Found it bit expensive but its tasty and better than many muesli which tatse if sugar only..Only if it comes with sugarfree version(sucralose or Erythritol) it would be best,27-07-20,July,2020,105,5,29,175,,          Helpful,0.00E+00,
105,Shiv Shankar Ash,Reviewed in India on 27 July 2020,5.0 out of 5 stars,Definitely a nutrition blast,  Crunchy and delicious. Go for it. 👍🏻,27-07-20,July,2020,106,5,7,38,,          Helpful,0.00E+00,
106,Ravi Kumar,Reviewed in India on 26 July 2020,1.0 out of 5 stars,Very bad taste,  Very bad taste I was not able to eat,26-07-20,July,2020,107,1,9,38,,          Helpful,0.00E+00,
107,Kasturi Das,Reviewed in India on 26 July 2020,5.0 out of 5 stars,awesome taste,  nice product,26-07-20,July,2020,108,5,2,14,,          Helpful,0.00E+00,
108,Venkates,Reviewed in India on 26 July 2020,5.0 out of 5 stars,Tasty and healthy breakfast,  I bought this product for the first time and I am very happy with its quality and taste. The packaging was also very good. It has all the ingredients that a healthy breakfast should have.  I will recommend this product to all those who want a quick and healthy breakfast.,26-07-20,July,2020,109,5,50,273,,          Helpful,0.00E+00,
109,RAMIZ RAJA,Reviewed in India on 25 July 2020,5.0 out of 5 stars,Healthy and Tasty,"  Smells yummy,  tastes delicious,  filling and healthy. Makes breakfast a happy event.",25-07-20,July,2020,110,5,12,87,,          Helpful,0.00E+00,
110,Rijisha Mitra,Reviewed in India on 25 July 2020,5.0 out of 5 stars,Best,  Best muesli,25-07-20,July,2020,111,5,2,13,,"One person found this helpful

          Helpful",1.00E+00,
111,Atanu Bera,Reviewed in India on 25 July 2020,4.0 out of 5 stars,Go for it,  My stomach is full having this muesli. I like the taste but my daughter doesn't like the seeds which was coming while she was chewing.will try chocolate flavour for her.,25-07-20,July,2020,112,4,30,171,,          Helpful,0.00E+00,
112,Amazon Customer,Reviewed in India on 24 July 2020,5.0 out of 5 stars,One of the best mueslis,  I have become a fan of yogabar products. Really nice flavor and ingredients.,24-07-20,July,2020,113,5,13,78,,          Helpful,0.00E+00,
113,sridhar p.,Reviewed in India on 24 July 2020,5.0 out of 5 stars,Must buy for good health,"  Amazing taste, full of health, a must buy if health is your priority....best quality....loved it",24-07-20,July,2020,114,5,15,98,,          Helpful,0.00E+00,
114,Umashankar,Reviewed in India on 21 July 2020,4.0 out of 5 stars,Go for it with out any doubt,  Very tasty and everyone loved it,21-07-20,July,2020,115,4,6,34,,          Helpful,0.00E+00,
115,navneet kadian,Reviewed in India on 21 July 2020,5.0 out of 5 stars,phani,  Good,21-07-20,July,2020,116,5,1,6,,"One person found this helpful

          Helpful",1.00E+00,
116,Pooja Devlekar,Reviewed in India on 21 July 2020,4.0 out of 5 stars,Amazing taste and fresh smell. 😍,  When you open this yogabar packet you notice fresh smell of fruits nuts and berries. Also the taste is Crunchy and fresh. Price is little bit higher side when you see this packet only contain 700 grm. This packet is only for 5 to 7 days. Try to buy at least two packet for your minimum 10  days breakfast.,21-07-20,July,2020,117,4,59,307,,          Helpful,0.00E+00,
