,Customer Name,Review,Ratingsint,Word_Length,Character_Length
22,Aman Gupta,"  For this little amount of protein i would not like to eat this tasteless cereal. It's sitting in a corner now, nobody ever touches it.",2.0,25,136
23,Arita Mondal,  Nice taste..well packed..but dnt knw what will do if it is damaged one..becoz it is not returnable,5.0,17,100
24,Paro,"  It tastes good, good for diet because there is no added sugar",5.0,12,63
25,Keerthu,  It's a bit sweet because of the berries but still far better than any other product,4.0,16,85
26,Debarpita Majumdar,"  good taste, healthy as well packaging needs to be improved.",4.0,10,61
27,Kunal,  I ordered for my hubby . N he really likes this product,5.0,12,57
28,Karampreet Kaur,"  It has a great flavor and one of the best muesli I have had. A bit higher on costs, but quality is good.",5.0,23,106
29,Ruchi,  I like 40gms packets  bcs it is fresh and good flavour and exact quantity for breakfast,4.0,16,89
30,AMALU ANTONY,  Very health tasty flavored... 👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌,5.0,5,51
31,Sonia,  Very bad this timeCompany faled to maintain quality.This time I got with no dry fruits in it only Grains @ Rs.400 for 700g.,1.0,23,125
32,Pooja Devlekar,  Item is good but delivered in 12 days even after being a prime member,4.0,14,71
33,Shiv Shankar Ash,  The pack is certainly very tasty and wholesome in health,4.0,10,58
34,Khilendra Kumar sen,  Just too much sugar to my taste. Its doubtful if its all natural sugar or processed. It is more of a comfort food and less of a healthy food. The food should have been natural and not candied out in syrup. I was not expecting this from a brand that has Yoga in its name. Dissappointed,4.0,56,286
35,Umang,  Nice love it,5.0,3,14
36,Srikieee,  Worth for money💰💵,5.0,3,19
37,Barnali,  Nice flavour,4.0,2,14
38,Puspani Das,"  Writing this review after trying it for one week.I totally recommend this product. Taste is so good, especially taste of dried berries. At first try, you may not like it much but after trying 2-3 times, you will start loving it. You can add honey to make it sweeter.",5.0,49,268
39,Alka Thakur,  Excellent and Healthy product.  Thanks,5.0,5,40
40,sayela ,"  Good flavour, good packaging and mostly value for money.",5.0,9,58
41,akshay sharma,"  Very good product, full rich of dry fruits, good taste and very hygiene than any other brands int market. Very very nice. I liked it.",5.0,25,135
42,Amazon Customer,  Very tasty and healthy breakfast,5.0,5,34
43,VERA,  The museli is good. Good handful of it with one glass of milk iss a perfect breakfast on the go.,4.0,20,98
44,Pooja Devlekar,"  Healthy, tasty, delicious. Seeds, strawberries, rasins , nuts , muesli. Perfect for breakfast or evening snack time. Packing all good.",5.0,20,136
45,Shiv Shankar Ash,"  Totally seems as they said , love it’s flavour!! Packaging is also good... worth buy",5.0,15,86
46,sridhar,"  It’s really good. It delivers on all the aspects. It has got it all what all is shown and what all is being claimed on the cover. Fruits, chia seeds, muesli everything. Flavors good. Taste is good. Totally a delight. Definitely value for money. Lasts around a week to 10 days. But definitely go for it. Chocolates good too. Except there are no actual chunks of chocolate how it’s shown on the packet.",4.0,73,402
47,apoorva sood,  Good product,5.0,2,14
48,Rashmi,  Poor packaging this time..... quality no compromise.... previously I had got best packaging.....,5.0,13,98
49,shajila,  Nutritious ..,5.0,2,15
50,Stanley,  World-class product,5.0,2,21
51,moikaseth,"  It's absolutely delicious. The aroma, taste and the nutritious ingredients just make this perfect.Crispy and highly digestive.Would absolutely recommend this to all the people who love nuts and raisins.",5.0,29,204
52,Soni,  Vv good,4.0,2,9
53,Hemant lakhani,  Good product..Cost can be reduced.,5.0,5,36
54,sabrina,  Good qualityI recommend,4.0,3,25
55,Swapnil,  Excellent,4.0,1,11
56,Pooja Devlekar,  Tastebuds were happy😊,5.0,3,23
57,Shiv Shankar Ash,  Flavour is great. This is the perfect food for breakfast 😋,5.0,11,60
58,Deepsikha Sarkar,  Nice packing flavour is going.,5.0,5,32
59,Ca@am89,"  I think it is good idea to buy also 500g plain oats and mix it with this yoga bar, or you will finish it in 4days, that will expensive. I just got it iam going to the store and buy the plain oats to mix. So I can enjoy for 10 days.",5.0,52,233
60,Sarvaiya,  Healthy abd tasty,5.0,3,19
61,Ananya Bose,  Costly and lots of sugar and sodium helps in increase weight and other health problems because of 5 percent sugar fo every 50 grams,4.0,24,133
62,George Philip,  Good,5.0,1,6
63,Manish Choudhary,  Chocolate flavor is much much better than fruit and nut flavour,3.0,11,65
64,NARINDER CHAUHAN,  Jus loving the product.the packaging it's very very healthy and delicious. I have never had a breakfast this good and yummy.can add taste if you add milk and a teaspoon of honey 😄,5.0,33,181
65,Abhilash Phukan,  My family likes this muesli very much,5.0,7,39
66,Umang sharma,  its good,3.0,2,10
67,Sumit Soni,  This is the one of the best muesli I ever ate.The flavour texture are awesome. I don't need to add fruit also because the fruit is like to flavoured and the dry fruit also as a very fresh and the rolled oats and all material all seeds are very good.This is healthy for me and my whole family. I order for myself then I'll order for my brother also and my sister also.,5.0,73,369
68,Pooja Devlekar,"  The quantity of the museli is very good and it do includes alots of healthy nuts in it. The flavour is good, it is sweet in taste. It is surely a value of money & the packaging is also nice.",5.0,40,192
69,Shiv Shankar Ash,  Awesome and so nutritious. A very welcome change to the routine breakfast.,5.0,12,76
70,Ravindra,   Yogabar is my all time favourite for healthy stuffs. I loved tge flavour of this museli+ breakfast cereal. It loaded with dry fruits. Its a complete fibrous meal. Most importantly its a gluten free meal. Thr packaging can be improved but its a value for money deal. Highly recommended for regular healthy breakfast.,5.0,53,318
71,Kaur B,  Liked it. Good,5.0,3,16
72,Yash,  Good amount of all the seeds and fruits needed for a wholesome breakfast.,5.0,13,75
73,Sakshi Pandey,"  Go for it guys,it's fill your tummy for long time",5.0,10,51
74,Loki,  It's the best breakfast... superb.. enriched with fruits nuts n seeds.. tastes heavenly... go for it,5.0,16,102
75,Antara Thakur,  Nice flavour and smell. A suggestion from my side is to let in soak in milk for 5-10 mins before eating. Way better than Kellogg's. It has more components too.,5.0,30,161
76,Ethan,"  Amazing product, tastes good! A little less sweet and rich in protein. Can be used as a breakfast snack with milk.Go for it. It's healthy and tastes good!",5.0,28,156
77,meenu,"  Great packaging and nutritional values, But the moment you receive your box, open and smell it, you will only smell preservatives and chemicals. I have sour throat because of excessive chemicals in this product within 2 days of use. Don't waste your money on such products.",1.0,46,275
78,Diya Roy,  A little sugary so little children will like so much. An excellent mixture of nuts.,5.0,15,85
79,Amazon Customer,"  It's been a few months since I discovered this mueslix flavour. I've been buying protein bars produced by the same company for more than a year now ergo I know quality is good.This large pack is unavailable in physical stores and even though it took a whole week to be delivered from Bangalore to Delhi, it's worth the wait as the product is very healthy and price very reasonable.",5.0,69,383
80,Pooja Devlekar,  I received musli packat.but expiry date for mgf.,3.0,8,50
81,Shiv Shankar Ash,"  I go for difficult to find, no sugar, no artificial sugar and no honey products, so Yoga bar is a perfect option.",5.0,22,115
82,Mahindar B.,  I loved it! Tastes amazing!!!♥️✌️,5.0,5,35
83,Kindle Customer,  The product is great in this price range. Tasty and have ample portion. I believed the sweetness outweighs the nutritional value here.,3.0,22,136
84,Harsh Kumar Chaudhary,  The product did not meet my expectations since fruits+nuts+ seeds flavor but i was supplied with chocolate flavor.,2.0,18,116
85,Manish K.,"  Who Doesn't likes Healthy Breakfast. This Yogabar Fruits + nuts and seeds Muesli is so delicious and healthy. Best food for Breakfast with an affordable price. It contains 50% whole grain, 22% Dried Fruits like Raisins, cranberries, strawberries,  Blackcurrants. It's a power pack break fast with High Protein and High Fiber .",5.0,52,328
86,Purabi c.,  Super quality and taste as well,5.0,6,33
87,Amazon Customer,  Tastes good,5.0,2,13
88,Baishan Chatterjee,"  I have been using this museli from last one week.Its rich in taste and energy.It contains fruits,nuts and flex seeda,chia seeds which are high in proteins and fiber.",4.0,28,167
89,batskhem lyngkhoi,"  I tried Dark chocolate and Cadbury varient as well as the fruits, nuts and seeds varient and both are delicious.It consists of healthy ingredients like flax seeds, Quinoa and oats. Perfect for everyday breakfast.",5.0,34,214
90,A Dash,  Nice smell!,5.0,2,13
91,K.A. Raghavan,"  Very good flavour, but the quantity will last for not more than a week.Everything is good, but cost wise not good",5.0,21,115
92,Pooja Devlekar,"  I personally don't like its flavour cause of mild strawberry scent, though its doesn't contain cornflakes at all , that's good part, but its hard while chewing. Before that i used Kellogg's musli with no sugar.. i think to switch back.. it's better",3.0,43,250
93,Shiv Shankar Ash,  Good flavour. Contains seeds & nuts.Looks healthy,4.0,7,51
94,Anoop C.,  Good diet product. But chocolate flavour is more good than this,4.0,11,65
95,Rachel,  Bit pricey for every day consumption.  But good quality.,4.0,9,58
96,Amazon Customer,  It majorly contains poha,1.0,4,26
97,Nisha,  Can have it with or without milk. Natural ingredients make it to must have it. I feel little more quantity of nuts are required. Overall a good product.,5.0,28,154
98,Manish Tiwari,"  Really loved this flavour of yoga bar muesli,color and sweetness all natural ingredients with good amount of nuts and berries. Have tried so many brands but this is best. A very healthy and nutrition meal to have in morning. package was fresh and we'll packed and delivered on time.",5.0,49,284
99,Vasbhi,  Very good flavor and have alot of super food and healthy,4.0,11,58
100,sourabh goyal,  Average,2.0,1,9
101,Vinay,  Product is full of chunks...not good..not by big 750gm pack ever...only buy 500g..it is betr thn biggr one..,1.0,18,110
102,captainplanetbetter,  Packaging is perfect and flavors also good. Overall value for money.,4.0,11,70
103,Jobee Philip,"  Very tasty, waiting for more flavours to come.",5.0,8,48
104,Pooja Devlekar,  Found it bit expensive but its tasty and better than many muesli which tatse if sugar only..Only if it comes with sugarfree version(sucralose or Erythritol) it would be best,5.0,29,175
105,Shiv Shankar Ash,  Crunchy and delicious. Go for it. 👍🏻,5.0,7,38
106,Ravi Kumar,  Very bad taste I was not able to eat,1.0,9,38
107,Kasturi Das,  nice product,5.0,2,14
108,Venkates,  I bought this product for the first time and I am very happy with its quality and taste. The packaging was also very good. It has all the ingredients that a healthy breakfast should have.  I will recommend this product to all those who want a quick and healthy breakfast.,5.0,50,273
109,RAMIZ RAJA,"  Smells yummy,  tastes delicious,  filling and healthy. Makes breakfast a happy event.",5.0,12,87
110,Rijisha Mitra,  Best muesli,5.0,2,13
111,Atanu Bera,  My stomach is full having this muesli. I like the taste but my daughter doesn't like the seeds which was coming while she was chewing.will try chocolate flavour for her.,4.0,30,171
112,Amazon Customer,  I have become a fan of yogabar products. Really nice flavor and ingredients.,5.0,13,78
113,sridhar p.,"  Amazing taste, full of health, a must buy if health is your priority....best quality....loved it",5.0,15,98
114,Umashankar,  Very tasty and everyone loved it,4.0,6,34
115,navneet kadian,  Good,5.0,1,6
116,Pooja Devlekar,  When you open this yogabar packet you notice fresh smell of fruits nuts and berries. Also the taste is Crunchy and fresh. Price is little bit higher side when you see this packet only contain 700 grm. This packet is only for 5 to 7 days. Try to buy at least two packet for your minimum 10  days breakfast.,4.0,59,307
117,Shiv Shankar Ash,  Not good flavor.. mostly sugar coated and less dried fruits,3.0,10,61
118,Bijal c.,  Costly,3.0,1,8
119,Gursharan,  I don't like the smell,4.0,5,24
120,Amazon Customer,  Good one... I have finished both of them.. I am going to repurchase... My dad and mom also likes this,5.0,20,103
121,Thelma,"  This muesli is really awesome, you should try ones. Filled with seeds and flavour is really far better than other muesli. Packaging is also air tight, which helps a lot  if you dont tranfer it in a jar.",5.0,38,204
122,Amina khan,"  One of the most yummy muesli I have ever had. Be it's flavour, fragrance and most importantly it's ingredients, everything is just awesome. If yogabar will maintain its quality as it is, I will be your regular customer for sure. Keep up the good work!",5.0,45,253
123,Devendra,  I like this product,4.0,4,21
124,Manmath Kumar Behera,  Delivers what is promised on the package. Lot of dried fruits. Excellent product.,5.0,13,83
125,Rashi,  Good for breakfast with milk.,5.0,5,31
126,Shivam Kumar,  Worth the money,4.0,3,17
127,Apurva,"  one of the only products to use real fruits insideconaining strawberry, almonds ,nuts, reisns and many more....extremely healthy",5.0,18,130
128,Pooja Devlekar,  Nice for a breakfast meal,5.0,5,27
129,Shiv Shankar Ash,  I recommend all to try this. Its the best muesli ever.,5.0,11,56
130,Chakravarty D,  My daughter loves it. Will order again.,5.0,7,41
131,Suraj Mishra,  Worth the money .. enjoy eating with oast as topping,5.0,10,54
132,Rk,"  Quality, package and taste. All tick boxes checked.",4.0,8,53
133,RJ,  Value for money,5.0,3,17
134,Dhanya V S,  One of the best breakfast options specially for the once who doesn't have much time in the morning. This has more pumpkin seeds and chia than any other seeds and nuts.,5.0,31,169
135,Amazon Customer,"  They have now almost stopped adding apricot and cranberry. Initially, the product was great and ingredients were generously added. Now, it seems they think they have established themselves. Hence the degradation of quality.",1.0,33,225
136,Shouvik D.,  Was looking for a healthy yet delicious breakfast since a while!This has to be hands down one of the best.It's yummy and makes me feel pretty energetic throughout the morning.,5.0,30,177
137,Anil Debata,  ideal for breakfast. tasted good. will surely recommend this .,4.0,10,64
138,Shruti,"  I absolutely loved it..highly recommend buying it..it is the perfect mix of all nuts,seeds...mix it once before each use..has strong strawberry fragrance.",5.0,22,156
139,Chandreshmangaroliya,  It is priced too high.,4.0,5,24
140,Pooja Devlekar,  Best muesli i ever had. Tastes too good. Not very sweet.. as in no added artificial sugar.. best part that is.. and it's just as they promised!!,5.0,27,146
141,Shiv Shankar Ash,"  Good taste, the product is fresh with high amount of dry fruits. I recommend to launch 1 kg saver packs like other competitors.",5.0,23,129
142,Navi,  This is one brand that hasn’t compromised on it’s quality by adding cornflakes. That’s something am super happy about 😊.The mix of cereals and fruits n nuts are perfect. The chia seeds are a good addition. The quality has been as good as it was initially. Good flavour. The packaging is excellent too.,5.0,53,303
143,Sushsmitha,  It's really tasty and adds flavour to my regular tasteless Oats along with fruits and Jaggery.Being a regular user I feel its price (MRP) could've been less.. hope they'll do something good for Bachelors like me..The product is very fresh and adds jinx to my boring Breakfast..,5.0,47,279
144,Juhi Shirkar,"  Very good product, it taste very yummy. You can go for it.",4.0,12,60
145,pranav chaturvedi,"  The product is good, nice flavor and priced a bit on higher side. The only thing which needs to be addressed is the amount of sugar inside the museli.If it can be removed completely, the product will certainly get 5 Stars from me.",4.0,43,232
146,Puneeth Kumar V.,  Good for daily breakfast,4.0,4,26
147,Duaa J.,  Not atleast content shown on package berries are in pacakage,1.0,10,62
148,Meghali bezbaruah,"  Healthy, wholesome breakfast.Mild flavouring.Excellent quality.",5.0,5,65
149,Amazon Customer,"  It's yummy , with or without sweetner ♥️👌🏾",5.0,8,44
150,vasudha,  my fav. breakfast❤️,5.0,3,21
151,AWADHESH KUMAR Singh,  I have had better,2.0,4,19
152,Pooja Devlekar,  Much better than other counterparts brand,4.0,6,43
153,Shiv Shankar Ash,  Yoga bar is one of the my favorite breakfastBecause it is sooo tasty and healthy breakfast.You are going to gym so you absolutely take this product,4.0,26,149
154,Dinesh Goyal,"  This product has a great mix of flax, chia and pumpkin seeds, little less of cranberry.Earlier I preferred Baggrys Fruit and Nut, but after trying Yogabar found it extra sweet.So now using a mix of Baggrys and Yogabar.",5.0,38,220
155,ROHIT K.,"  I was ordered set of three, its a Very nice packaging, all dry fruits in one product ,value for money.",5.0,20,104
156,mahesh prabhudesai,  Vey healthy,5.0,2,13
157,Juhi YAGNIK,  Really tasty ! And healthy,5.0,5,28
158,PRASHANTH S.,  The flavour is just mind blowing the moment I opened the pack it was like strawberry milkshake then I treid eating barely n omg it's just awesome u have chia n flax seeds my fav n healthy just best brkfast also many things rich in protein as whoever work-out,5.0,49,260
159,Shushant,  👍👍👍,5.0,1,5
160,MNR,  It does not have berries and nuts only grains which is very sad.Overall it was not at all tasting good as it was used to be earlier.,1.0,27,134
161,PBhullar,  Better than many others.,4.0,4,26
162,Ankita Kar,  The product is good. Just didn't like the artificial flavour.,4.0,10,63
163,Khandekar Arefuz zaman,"  I won't buy again.. Ingredients are not up to the mark.. Taste & Flavor doesn't has standard.. In this price, we can't expect premium quality..",3.0,25,145
164,Pooja Devlekar,  Loved it!,5.0,2,11
165,Shiv Shankar Ash,"  Awesome,what a delicious product",4.0,4,34
166,Rusty,  Did not like it much. Go for Good DIet meusli.  Better than this one.,2.0,14,71
167,Webknight,  I ordered yoga bar muesli after reading the reviews and comparing it with other brands.It contains seeds and fruits along with grains.The taste is really good and different than other mueslis. Price is reasonable too.Gonna try the other variants in future.,5.0,41,258
168,Soumya Gowda,  Good product,5.0,2,14
169,Ravi Singh,  Very nice muesli.Better than other brands.Value for money. Quantity of seeds and dry fruits is also good and flavour is natural . Go for it without any doubt.,5.0,28,160
170,veeresh,  Good yami testi,5.0,3,17
171,Ashanand ,  It’s really gud !,5.0,4,19
172,chinmai,  Pls try to provide these with some discounts so that it is affordable to everyone.. I love this product very much that I started advertising/sharing in personal 😂 so I deserve more discount 😂🤣,5.0,34,194
173,Rahul Pawar,  I gave this to my baby n he love it as there are dry fruits n nuts on it...,5.0,19,77
174,Arpitha Reddy,  Easy n Yummy breakfast without sugar n of course with a whole lot of goodies.Thank u Yogabar for this museli hope you guys won't compromise with the quality in d near future👍,5.0,32,176
175,Amazon Customer,  flevor is not gud .......not like by my son......waste of money ....,1.0,12,70
176,Pooja Devlekar,"  Great flavors, generous inclusion of dried fruits and seeds. Crunchiest muesli with an amazing fresh aroma and packaging.",5.0,18,123
177,Shiv Shankar Ash,  Hhhb,5.0,1,6
178,Alok Priyadarshi,  It was average.........I would still stick to Kellogg's muesli,3.0,9,64
179,Krishna,  Value for money,5.0,3,17
180,PR,  overall good and this is an economic pack compared to 400gms pact and other vendor products.,5.0,16,94
181,Tanmoy Panja,  This is a worth money product.,4.0,6,32
182,Ajay Gera,"  I have been having Kellogg's Muesli, wanted to try this one.. Though priced similarly to Kellogg's this much is much better with all the nuts and nutritious seeds. Definitely value for money.",5.0,32,193
183,Dipika Shroff,"  Nice taste and healthy...Packed with nutritions and ""zero trans fat""",5.0,10,70
184,vijay,  Very healthy and wholesome for your breakfast tummy.,5.0,8,54
185,chaitanya,  Amazing love to have again filling your tummy well.,5.0,9,53
186,Amazon Customer,  I don't like test,1.0,4,19
187,Ravindra Kontham,"  A best meal to start your day with with misxture of proten, vitamins, complex carbs and healthy fats fats with seeds. I would rate it 9/10 its just that its certainly high in cost in proportion of quantity. If quantity was given as per requirement it would be 10/10.",5.0,49,268
188,Pooja Devlekar,  Not happy ... it doesn't has much nuts and it's not that tasty that I thought,2.0,16,79
189,Shiv Shankar Ash,  Flavour with whole good seeds,5.0,5,31
190,Aleena Xavier,"  I like the flavour and it tastes good. Out of various muesli brand that I have tried, I like yogabar muesli the most as it has a mix of nuts and seeds. The seeds and nuts together gives a crunchy experience. I am going to buy it again. What I don't like about it is the carbohydrate content in each serving. It's quite high when compared to protein content and I guess my main purpose for which I switched to muesli (i.e., weight loss) is not gonna be of great help in this regard.",4.0,94,483
191,A sif,"  This the second time I bought this product,last time it was flavourful,but this time it doesn't have any flavour,and the quantity of beaten rice is more.charging higher price for such quality of product. This time it was the muesli was moist.",1.0,41,244
192,paridhi j.,  tastes good,5.0,2,13
193,avichal,"  This is the best muesli I've had so far. Full of nuts, seeds and dried fruits, it is wholesome, filling and very, very tasty. Moreover, it has jaggery instead of processed sugar that makes it all the more nutritious.",5.0,39,218
194,Latila,  Expensive than similar product by other companies,5.0,7,51
195,Aditya,  Fell in love with flavour.Has everything and it’s so crunchy,5.0,10,62
196,Aditya dev,  Great taste,5.0,2,13
197,Parul s.,  Tasteless and the fruity smell is intolerable . Smells like a fruit deo or soap,2.0,15,81
198,Nik,  The delivery was timely and the product is excellent. Would recommend it to everyone who wishes to loose weight or try something better than cornflakes.,4.0,25,154
199,Joy M.,  I have been purchasing it for my family over a long period...it is far far far better than than other....at least you must have try it for once so that you will purchase it in regular basis,5.0,37,191
200,Pooja Devlekar,  Good,5.0,1,6
201,Shiv Shankar Ash,  This product is a bowl full of healthy ingredients. Must buy...value for money and taste.,5.0,15,91
202,Amazon Customer,  Very healthy breakfast option. All ingredients are clearly mentioned and they use jaggery instead of refined sugar which is very good. This is by far the best Muesli that i have tried. Will definitely buy again.,5.0,36,213
203,Oliver,  It has a strawberry smell. Healthy and light for brkfst . I ate even in evening 😂,5.0,17,83
204,Hanna ,  Very nice product. Especially love the re-sealable bag. 👌,5.0,9,59
205,Anand,  tasty along with healthy,5.0,4,26
206,Shruthi Manamohana,  Flavor is really good. Packaging was not great. Good one for breakfast. High in protein and fibre. Value for money,5.0,20,116
207,Shweta S.,  Very yummy . High quality product,5.0,6,35
208,Prabhu mundhra,  The flavour has changed a bit . Hardly any chia seeds. Ut used to be a great product but now more like the Kellogg one,3.0,25,120
209,Rohit Biswas,  Kellogg is far far better product please don't buy it,1.0,10,55
210,Preman Supplyco,  Previously used to buy Kellogg's.. but thought of trying this after seeing so many reviews.. I didn't liked the taste.. I'm totally disappointed .. I will never buy it again,1.0,30,175
211,Amazon Customer,  So good and healthy. Worth the price👌,5.0,7,39
212,Pooja Devlekar,  Great taste most of the time u will find urself eating it straight out of the pack instead of mixing with milk.,5.0,22,113
213,Shiv Shankar Ash,"  Yoga Bar museli is the best in terms of quality. As I opened the package I was mesmerized by the sweet smell of strawberry. Also it has good amount of dried fruits and seeds. Just loved this product. Trying chocolate flavours soon.If you also get confused in the morning as what to eat (...other than simple plain oats...😑) then it is the solution. It's healthy, light and delicious. Just go for it.",5.0,72,401
214,Shiv Shankar Ash,  It is a healthy option for my quick breakfast. Like the test also.,5.0,13,68
215,sumathi,  A bit expensive! But load of nuts and seeds make that worthy.best breakfast option in market.,5.0,16,95
216,Partha roy,  Love it.. Great taste.. Very healthy and filling.. Packaging is good.. Amazon delivery is excellent.. I have been having this for the past 6 months now and I'm totally satisfied.. Thanks Amazon..,5.0,32,197
217,Mahesh kanta Bagai,"  Apart from aroma, taste and variety i also like the thing that i get a recently packed item which one does not get it from the market.",5.0,27,136
218,Gaurav,  Tried muesli for the first time and it is delicious as well as addictive.Thank you YogaBar and Amazon.,5.0,18,104
219,Shazia Iqbal,  Super taste...value for money,5.0,4,31
220,Madhulika Sachan,  Healthy and easy breakfast.,4.0,4,29
221,Amazon Customer,"  The one that I ordered was for Muesli Fruits but I was handed chocolate one little annoyed I was but then it was all fine since it was kind of bonus deal for me I got two packets of chocolate one for the price of just one and taste-wise it was superb, kind of light, a lot of healthy things inside my 8 yrs old daughter would ask for it, again and again, seems she loved it.I will be buying it again.",5.0,82,402
222, Pramod K,"  It tastes, smells, and looks great. in fact, it is an amazingly healthy mix.  The price could have been lowered a little for a super saver value pack of a kg considering the wholegrains (though they are trendy and healthier than refined grains) logically incur no cost of refining and are quite cheap in Indian markets.",5.0,56,321
223,Tarannum Singhal,  Nice taste,4.0,2,12
224,Pooja Devlekar,  बेहतरीन स्वादिष्ट Purchased first time and was having apprehensions about brand and quality. But found it very good. Would defintitely challenge dominance of existing brands.,5.0,25,176
225,Shiv Shankar Ash,  Very very tasty museli 👌,5.0,5,26
226,Amazon Customer,"  This has become my go to serial. Whenever I feel hungry and feel like eating junk food, I immediately open the box and eat it with some milk. Love the taste, flavour.",5.0,32,168
227,Pooja Gi,  Priced higher.,5.0,2,16
228,Anu,  Was a bit stale.,3.0,4,18
229,Vishal Pratap Singh,"  This is a perfect cereal for breakfast with lots of nuts, seeds and fruits... Tastes delicious with an irresistible flavour... Sure thing will be liked by all... Total value for money... No second thoughts before buying",5.0,36,221
230,Amazon Customer,  Very healthy option for breakfast. It tastes like strawberry and packaging is nice.,5.0,13,85
231,Arun,  Good product but price is high.,4.0,6,33
232,phal,  Best Breakfast and post workout meal ever. Easy to digest and no after effects like Dizziness after having. But Dark Chocolate Cranberry is more yummy than Fruit and Nut. But still healthy!,5.0,32,191
233,Manav Joshi,  Tasty and healthy,5.0,3,19
234,Deepak agarwal,  Nice,5.0,1,6
235,Komal,  Excellent taste andqualit..  A bit pricy though,5.0,7,49
236,Pooja Devlekar,  This is the best muesli I ever had. Contains things as shown in the image. 100% recommended.,5.0,17,94
237,Shiv Shankar Ash,  Better than kellogs and bagrys,5.0,5,32
238,Ajith,"  This product is very healthy. Even the sugar levels are bare minimum. Highly recommended.Considering the contents, it is really worth it if it is some 50-70 Rs lower. Hope the seller would consider it.",5.0,34,203
239,Off The Grid,  Taste- subjective. I like it though.Healthy-no doubt,4.0,7,54
240,Hasmukh Ranmal,"  I tried the 3 flavours fruit n nut, almond and quinoa and cranberry 1 .. trust me amazing taste. Makes my breakfast amazing♥️ jus love it..",5.0,26,141
241,Marjan,  It tastes good. Contains healthy seeds & grain. Its an healthy ready to eat breakfast or snack option.,5.0,18,104
242,PJ,  Very tasty,5.0,2,12
243,Amazon Customer,  Love the flavor! This is hands down the best muesli I’ve had.,5.0,12,63
244,ROOPA JAYA RAO,  Awesome taste my boy luv to eat,5.0,7,33
245,Saimani A.,  Very nice taste,5.0,3,17
246,Puja,  Good for breakfast,5.0,3,20
247,Amazon Customer,  nice flavour but too high a price.,3.0,7,36
248,Pooja Devlekar,  Yogabar is so natural and tasy .It's packaging is too good and new manf dateYogabar is available at very low priceAnd really very helpful for my body and health.I really like it,5.0,32,179
249,Shiv Shankar Ash,  Loved it.,5.0,2,11
250,Sansh,  I really liked the taste and texture of the muesli. A bit costly but the overall product is amazing.,5.0,19,102
251,harpreet singh,"  Amazing one, great taste",5.0,4,26
252,SRUJAN AY.,  The product is worthy enough to be a part of your diet plan.,5.0,13,62
